"","city","state","postal_code","latitude","longitude","stars","review_count","categories","OpenSundays","Open7days","checkedin100","BusinessAcceptsCreditCards","RestaurantsTakeOut","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsDelivery","GoodForKids","OutdoorSeating","RestaurantsAttire","garage","street","validated","lot","valet","WiFi","NoiseLevel","Caters","dessert","latenight","lunch","dinner","brunch","breakfast"
"53","Monona","WI",53716,43.0496662,-89.3255306,3.5,83,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","True","True","False","casual","False","False","False","True","False","free","quiet","True","False","False","True","True","False","False"
"54","Madison","WI",53715,43.0734309,-89.3964774,5,12,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","True","True","False","False","casual","False","False","False","False","False","free","average","True","False","False","False","False","False","False"
"55","Madison","WI",53704,43.0945835,-89.3641631,3,44,"Fast Food, American (Traditional)","yes","no","no","True","True","1","True","True","False","True","casual","False","False","False","True","False","no","average","True","False","False","False","False","False","False"
"56","Mint Hill","NC",28227,35.1756932683,-80.6543249237,3,76,"American (Traditional), Nightlife","yes","yes","no","True","True","2","False","False","True","True","casual","False","False","False","True","False","free","very_loud","False","False","False","False","True","False","False"
"57","Concord","NC",28027,35.4153658582,-80.6689246331,3.5,30,"Coffee & Tea, Cafes","no","no","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"58","Charlotte","NC",28211,35.1522311,-80.8318968,2.5,3,"Coffee & Tea, Cafes","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","no","average","True","False","False","True","True","False","False"
"59","Concord","NC",28025,35.446819,-80.5991685,4,36,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","False","True","False","casual","False","False","False","True","False","no","average","False","False","False","True","True","False","False"
"60","Urbana","IL",61801,40.1067106,-88.2217516,3,60,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","True","True","True","True","casual","False","True","False","False","False","no","average","True","False","False","True","True","False","False"
"61","Charlotte","NC",28211,35.1761455,-80.7996081,2.5,31,"Sandwiches, Fast Food","yes","yes","yes","True","True","1","False","False","True","True","casual","False","False","False","False","False","free","average","True","False","False","True","True","False","False"
"62","Charlotte","NC",28226,35.088117,-80.861651,3,95,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","True","True","True","casual","False","False","False","True","False","free","average","False","False","False","False","True","False","False"
"63","Davidson","NC",28036,35.5011767149,-80.8610272408,3.5,47,"Fast Food, American (Traditional)","yes","yes","yes","True","True","1","False","False","True","True","casual","False","False","False","True","False","free","average","False","False","False","True","True","False","False"
"64","Charlotte","NC",28262,35.2961,-80.7553,1.5,13,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","no","average","True","False","False","True","True","False","False"
"65","Charlotte","NC",28202,35.2170808927,-80.8479955959,3.5,33,"Coffee & Tea, Cafes","no","no","no","True","True","1","False","False","True","True","casual","False","False","False","False","False","free","loud","True","False","False","False","False","False","True"
"66","Charlotte","NC",28208,35.2202707977,-80.9470832348,3,68,"Nightlife, Bars","yes","yes","yes","True","True","2","False","False","False","False","casual","False","False","False","False","False","free","average","False","False","False","True","True","False","False"
"67","Charlotte","NC",28213,35.2946040657,-80.7480016351,1.5,18,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","free","loud","False","False","False","False","False","False","False"
"68","Madison","WI",53704,43.1113142622,-89.3640175794,4,114,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","True","True","False","casual","False","False","False","True","False","no","average","True","False","False","False","True","False","False"
"69","Matthews","NC",28105,35.1355697,-80.7381149,3.5,35,"Fast Food, American (Traditional)","no","no","no","True","True","2","False","False","True","True","casual","False","False","False","False","False","free","quiet","False","False","False","True","False","False","False"
"70","Charlotte","NC",28262,35.310253,-80.749391,4,199,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","False","True","True","True","casual","False","False","False","False","False","free","average","True","False","False","True","False","True","True"
"71","Charlotte","NC",28216,35.2734512,-80.8916921,4.5,36,"Fast Food, American (Traditional)","no","no","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","no","average","True","False","False","True","False","False","True"
"72","Charlotte","NC",28208,35.1902505,-80.9285933,3.5,7,"Sandwiches, Fast Food","no","no","no","True","True","2","False","True","True","False","casual","False","False","False","True","False","no","average","False","False","False","True","True","False","False"
"73","Monona","WI",53716,43.0477289,-89.3122608,5,19,"Fast Food, American (Traditional)","no","no","no","True","True","1","False","False","True","True","casual","False","False","False","False","False","no","average","True","False","False","True","False","False","False"
"74","Middleton","WI",53562,43.1045005,-89.4945568,3.5,129,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","True","False","True","True","casual","False","False","False","True","False","free","average","False","False","False","False","True","False","False"
"75","Charlotte","NC",28262,35.3363145137,-80.7555362945,3.5,83,"Southern, Breakfast & Brunch","yes","yes","yes","True","True","1","False","False","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"76","Charlotte","NC",28209,35.1742292692,-80.8481419086,4,574,"Southern, Breakfast & Brunch","yes","yes","yes","True","True","2","False","True","True","True","casual","False","False","False","False","False","free","average","True","False","False","True","False","True","True"
"77","Charlotte","NC",28203,35.200406,-80.8690417,3.5,22,"Coffee & Tea, Cafes","yes","yes","no","True","False","2","False","False","True","True","casual","False","True","False","True","False","free","loud","False","True","True","True","True","False","False"
"78","Charlotte","NC",28269,35.333598,-80.813201,2.5,45,"Fast Food, American (Traditional)","no","no","yes","True","True","1","False","True","True","True","casual","False","False","False","True","False","free","quiet","True","True","False","True","True","False","False"
"79","Matthews","NC",28105,35.116822,-80.722003,4,64,"Fast Food, American (Traditional)","no","no","yes","True","True","2","True","False","False","True","casual","False","True","False","False","False","free","average","False","False","False","False","True","False","False"
"80","Charlotte","NC",28226,35.1084974,-80.8022853,5,4,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","True","False","True","True","casual","False","True","False","True","False","free","average","True","False","False","True","True","True","True"
"81","Charlotte","NC",28205,35.2114568,-80.7614948,4,59,"Fast Food, American (Traditional)","yes","yes","yes","True","True","1","False","False","True","False","casual","False","False","False","True","False","no","average","False","False","False","True","True","False","False"
"82","Charlotte","NC",28269,35.3721137904,-80.7829607676,4,98,"Nightlife, Bars","yes","yes","yes","True","True","2","True","False","True","True","casual","False","False","False","True","False","free","average","True","False","False","True","True","False","False"
"83","Charlotte","NC",28208,35.2242230736,-80.9402901706,2.5,64,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","no","average","True","False","False","False","False","False","False"
"84","Gastonia","NC",28052,35.2625236511,-81.1962356567,3,12,"Fast Food, American (Traditional)","no","no","no","True","True","1","False","False","True","False","casual","False","False","False","True","False","no","loud","False","False","False","True","False","False","False"
"85","Madison","WI",53716,43.084,-89.3162,2,12,"Fast Food, American (Traditional)","yes","yes","no","True","True","2","False","False","True","False","casual","False","False","False","False","False","free","quiet","True","False","False","False","False","False","False"
"86","Champaign","IL",61820,40.111322,-88.230602,3,85,"Fast Food, American (Traditional)","yes","yes","no","True","False","2","True","False","True","False","casual","False","True","False","False","False","free","loud","False","False","False","True","True","False","False"
"87","Verona","WI",53593,43.0020338,-89.5306321,2.5,9,"Fast Food, American (Traditional)","yes","yes","no","True","True","1","False","True","True","False","casual","False","False","False","True","False","no","very_loud","True","False","False","False","False","False","False"
"88","Charlotte","NC",28273,35.144187,-80.929394,2.5,59,"Fast Food, American (Traditional)","no","no","yes","True","True","1","False","False","True","False","casual","False","False","False","True","False","free","average","True","False","True","True","True","False","True"
"89","Indian Trail","NC",28079,35.0631169,-80.633164,4,34,"Sandwiches, Fast Food","yes","yes","no","True","True","1","False","False","True","True","casual","False","False","False","False","False","no","average","True","False","False","True","False","False","False"
"90","Charlotte","NC",28278,35.161365,-80.973333,3.5,9,"Sandwiches, Fast Food","yes","yes","no","True","True","1","False","False","True","False","casual","False","False","False","False","False","free","average","True","False","False","True","True","False","False"
"91","Charlotte","NC",28205,35.2278929,-80.8209316,4.5,490,"Sandwiches, Fast Food","yes","no","yes","True","True","2","False","True","True","False","casual","False","True","False","False","False","no","average","True","False","False","True","True","False","False"
"92","Matthews","NC",28105,35.128028,-80.702461,3,16,"Sandwiches, Fast Food","yes","yes","no","True","True","1","False","True","True","True","casual","False","False","False","False","False","no","average","True","False","False","True","True","False","False"
"93","Madison","WI",53703,43.074392,-89.3936635,3.5,168,"Fast Food, American (Traditional)","yes","yes","yes","True","True","2","True","True","True","False","casual","False","True","False","False","False","no","average","False","False","False","True","True","False","False"
